true,pred,true_confidence,pred_confidence
3,3,0.9646105170249939,0.9646105
8,1,0.48955607414245605,0.5104433
8,8,0.6992939114570618,0.6992939
0,8,0.0005029860185459256,0.61367387
6,4,0.20867972075939178,0.6929784
6,6,0.9123123288154602,0.9123123
1,1,0.9733379483222961,0.97333795
6,6,0.650378942489624,0.65037894
3,5,0.23077616095542908,0.7684605
1,1,0.9975669384002686,0.99756694
0,0,0.8495556712150574,0.8495557
9,1,0.2410990297794342,0.7588157
5,6,0.18819575011730194,0.4658891
7,1,0.012019469402730465,0.8057302
9,1,0.00044555176282301545,0.9987342
8,8,0.9497326612472534,0.94973266
5,5,0.9731465578079224,0.97314656
7,5,0.24519853293895721,0.38307512
8,8,0.9840848445892334,0.98408484
6,6,0.9597281813621521,0.9597282
7,7,0.8422766327857971,0.84227663
0,0,0.9998493194580078,0.9998493
4,0,8.686009268614459e-13,0.8907188
9,1,0.10086379945278168,0.8991358
5,7,0.015471894294023514,0.59872836
2,6,0.041577305644750595,0.87982863
4,6,0.07066929340362549,0.8051186
0,7,0.0012595901498571038,0.9772968
9,1,0.02163931541144848,0.9783052
6,6,0.979446530342102,0.97944653
6,6,0.47791218757629395,0.4779122
5,3,0.35728007555007935,0.54257643
4,3,0.04663713648915291,0.525615
5,3,0.024420926347374916,0.8050921
9,9,0.9722294807434082,0.9722295
2,1,0.0043130735866725445,0.6053212
4,3,0.002490854589268565,0.4425564
1,1,0.9934020638465881,0.99340206
9,9,0.7368765473365784,0.73687655
5,3,0.43412867188453674,0.56539947
4,9,5.4032285472091635e-18,0.84536886
6,6,0.9985371828079224,0.9985372
5,7,0.1709776073694229,0.76957417
6,6,0.8815844058990479,0.8815844
0,8,0.0018926644697785378,0.9981002
9,9,0.9253519773483276,0.925352
3,5,0.21845565736293793,0.5900419
9,0,0.2740216553211212,0.3633502
7,6,0.0017803655937314034,0.62507415
6,4,0.4542991816997528,0.5319853
9,9,0.9605244994163513,0.9605245
8,8,0.9651968479156494,0.96519685
0,6,3.286314276262914e-11,0.9990169
3,5,0.38910168409347534,0.40509978
8,8,0.9985257983207703,0.9985258
8,8,0.9991057515144348,0.99910575
7,5,0.08335191011428833,0.88778657
7,6,6.611076969420537e-05,0.5600458
4,3,0.00012420205166563392,0.4453498
6,3,0.0001331214007223025,0.5233583
7,7,0.9797306656837463,0.97973067
3,5,0.2975219786167145,0.613741
6,6,0.9613742828369141,0.9613743
3,9,1.2887910543213366e-06,0.85437983
6,6,0.6929266452789307,0.69292665
2,6,0.02295018546283245,0.6051925
1,1,0.6432020664215088,0.64320207
2,0,3.868236433390848e-07,0.7925958
3,7,0.08086230605840683,0.5211019
7,9,0.32995790243148804,0.5822535
2,2,0.5067334771156311,0.5067335
6,6,0.954863429069519,0.9548634
8,8,0.9999253749847412,0.9999254
8,8,0.9999783039093018,0.9999783
0,8,0.0001000127595034428,0.8358859
2,4,0.10137706249952316,0.72306037
9,9,0.8373099565505981,0.83730996
3,1,0.0596156008541584,0.62611264
3,5,0.3251596689224243,0.65206164
8,8,0.9840083122253418,0.9840083
8,8,0.9907786846160889,0.9907787
1,1,0.9993414282798767,0.9993414
1,1,0.999619722366333,0.9996197
7,5,9.992896229960024e-05,0.9397795
2,0,8.852336759446189e-05,0.9548967
5,7,8.363598702487707e-09,0.9812604
2,1,1.252437232324155e-05,0.9475028
7,8,1.2450065867142257e-07,0.999619
8,9,0.012661287561058998,0.81683445
9,8,0.03554975241422653,0.7575262
0,8,5.480429535964504e-05,0.9978611
3,6,0.024363040924072266,0.954126
8,8,0.9935613870620728,0.9935614
6,2,0.09496384114027023,0.7684992
4,2,0.07838401198387146,0.59419763
6,3,0.22148863971233368,0.5205061
6,6,0.983144998550415,0.983145
0,8,0.3675808310508728,0.5771957
0,5,0.19691814482212067,0.4510756
7,7,0.9201173782348633,0.9201174
4,3,0.00012190241977805272,0.7028651
5,5,0.4564751386642456,0.45647514
6,6,0.7241300940513611,0.7241301
3,3,0.7652036547660828,0.76520365
1,1,0.9997873902320862,0.9997874
1,8,0.2846968472003937,0.71530205
3,1,0.05621177703142166,0.8339839
6,6,0.9864374399185181,0.98643744
8,5,3.37284086526779e-06,0.94648045
7,5,6.150838089524768e-06,0.99110776
4,9,6.858255074959629e-10,0.87087
0,0,0.5281100869178772,0.5281101
6,6,0.9385772943496704,0.9385773
2,8,0.17625397443771362,0.7464408
1,1,0.9511798024177551,0.9511798
3,9,0.007670995779335499,0.6059028
0,0,0.9860325455665588,0.98603255
4,7,2.0775817120011197e-06,0.936771
2,6,0.06119697168469429,0.6767648
7,5,0.30829066038131714,0.66913414
8,8,0.9998434782028198,0.9998435
3,7,0.0734635517001152,0.5106121
1,1,0.9997474551200867,0.99974746
2,4,0.25323188304901123,0.6514448
8,0,0.3617928624153137,0.6355872
0,8,1.0039834705821704e-05,0.935834
8,0,0.10981017351150513,0.8544409
3,5,0.12314629554748535,0.8719906
5,3,0.0313454307615757,0.9527525
2,7,0.2265782654285431,0.28473344
